28,BAZAR,12
28,CRISTALERIA,6
28,BAZAR,10
28,IMPORTACION_7,11
28,BAZAR,13
29,BAZAR,14
29,BAZAR,6
29,BAZAR,31
29,PORCELANA ,6
29,PORCELANA,5
29,PORCELANA,20
29,BAZAR,6
29,BAZAR,20
30,BAZAR,12
30,CRISTALERIA ,77
30,BAZAR,58
30,ELECTRONICA,5
30,BAZAR,7
30,CRISTALERIA,16
30,BAZAR,24
30,BAZAR,12
31,CRISTALERIA,6
31,IMPORTACION_3,24
31,BAZAR,45
31,ARTICULOS PARA HOGAR,45
31,ARTICULOS PARA HOGAR,6
31,BAZAR,20
31,IMPORTACION_6,6
31,PORCELANA ,12
32,JUGUETES,6
32,IMPORTACION_3,24
32,ARTICULOS PARA HOGAR,6
32,BAZAR,52
32,TEXTIL,15
32,BAZAR,10
32,IMPORTACION_8,6
32,IMPORTACION_4,48
33,PORCELANA,5
33,JUGUETES,12
33,BAZAR,19
33,ARTICULOS PARA HOGAR,5
33,ADORNOS,14
33,IMPORTACION_7,6
33,IMPORTACION_1,6
33,BAZAR,7
34,BAZAR,6
34,IMPORTACION_6,24
34,BAZAR,41
34,TEXTIL,7
34,ADORNOS,6
34,BAZAR,156
34,PORCELANA,6
34,PORCELANA,8
35,BAZAR,6
35,PORCELANA,24
35,BAZAR,13
35,BAZAR,6
35,PORCELANA,8
35,ADORNOS,54
35,IMPORTACION_7,6
35,ADORNOS,6
36,BAZAR,12
36,JUGUETES,10
36,BAZAR,46
36,BAZAR,24
36,TEXTIL,8
36,IMPORTACION_5,30
36,ELECTRONICA,18
36,ADORNOS,8
37,BAZAR,6
37,JUGUETES,12
37,BAZAR,100
37,BAZAR,14
37,CRISTALERIA,8
37,PORCELANA,60
37,IMPORTACION_1,16
37,ELECTRONICA,6
38,BAZAR,7
38,TEXTIL,10
38,BAZAR,65
38,ARTICULOS PARA HOGAR,8
38,BAZAR,10
38,CRISTALERIA,24
38,ELECTRONICA,15
38,ARTICULOS PARA HOGAR,12
39,BAZAR,6
39,JUGUETES,14
39,BAZAR,5
39,CRISTALERIA,12
39,BAZAR,14
39,BAZAR,40
39,BAZAR,29
39,BAZAR,6
40,PORCELANA,12
40,IMPORTACION_3,12
40,BAZAR,32
40,CRISTALERIA,5
40,ELECTRONICA,6
40,JUGUETES,24
40,BAZAR,6
40,TEXTIL,7
41,BAZAR,6
41,IMPORTACION_3,7
41,BAZAR,100
41,BAZAR,10
41,IMPORTACION_6,48
41,IMPORTACION_3,24
41,BAZAR,5
41,TEXTIL,6
42,LINEA BLANCA,8
42,ELECTRONICA,84
42,BAZAR,25
42,BAZAR,25
42,PORCELANA,48
42,PORCELANA,24
42,BAZAR,17
42,IMPORTACION_4,5
43,LINEA BLANCA,7
43,BAZAR,42
43,BAZAR,75
43,CRISTALERIA,6
43,ARTICULOS PARA HOGAR,6
43,BAZAR,48
43,PORCELANA,6
43,JUGUETES,19
44,BAZAR,6
44,BAZAR,16
44,BAZAR,23
44,BAZAR,10
44,CRISTALERIA,6
44,JUGUETES,10
44,JUGUETES,5
44,JUGUETES,13
45,BAZAR,12
45,BAZAR,72
45,BAZAR,20
45,BAZAR,28
45,BAZAR,12
45,PORCELANA,24
45,PELUCHES,21
45,BAZAR,16
46,ARTICULOS PARA HOGAR,14
